"func.type","tpt","emd","js_div","hellinger","model","population"
"hexagon",3,0.946409033847892,0.696372589497033,0.778441070295015,"gpnc","adult"
"3_pts",3,0.830150651691371,0.306274065131584,0.517768920782021,"gpnc","adult"
"stairs_2",3,1.1751543025582,0.689138171424526,0.779173281765281,"gpnc","adult"
"alternating_diff_2",3,0.652100677987573,0.147371151232624,0.360130051909385,"gpnc","adult"
"hourglass_1",3,1.12182835968703,0.756096952814238,0.819402248286314,"gpnc","adult"
"square_spiral",3,0.966250801638728,0.632279596788845,0.731822178980497,"gpnc","adult"
"alternating_diff_1",3,0.974323165089231,0.576670922704696,0.699634292925489,"gpnc","adult"
"triangle_1",3,0.834428571271319,0.453541590387953,0.603062798435693,"gpnc","adult"
"plus",3,1.24593505226991,0.626918426661335,0.738020572840877,"gpnc","adult"
"zigzag_1",3,1.0476291114507,0.603687475203572,0.715748619728511,"gpnc","adult"
"f_curly_2",3,1.22547060438934,0.781378651809341,0.83768123896895,"gpnc","adult"
"zigzag_widening",3,4.22332747636813,0.963933758629059,0.969615753365398,"gpnc","adult"
"square_2",3,1.22624033713076,0.748822693991017,0.803291098980395,"gpnc","adult"
"radial_1",3,1.14872450724402,0.666999483017903,0.761314817949316,"gpnc","adult"
"zigzag_2",3,0.933809796112979,0.507755291578077,0.652708483489651,"gpnc","adult"
"line",3,2.00304906916594,0.894372189899413,0.921936213534776,"gpnc","adult"
"stairs",3,2.06152908685017,0.89154104477066,0.908762194812725,"gpnc","adult"
"increasing_lines",3,1.10693762142878,0.708141964860308,0.788110492915284,"gpnc","adult"
"sine",3,1.67622525707155,0.515603562602076,0.672430349661003,"gpnc","adult"
"spiral_outward",3,1.15957057049182,0.615358585466852,0.724494752970456,"gpnc","adult"
"zigzag_3",3,3.35749687934882,0.999999803433508,0.999947539126136,"gpnc","adult"
"hexagon",4,1.48429803487245,0.924668085895372,0.938243866897074,"gpnc","adult"
"3_pts",4,0.547011534018319,0.147577282051566,0.358771210738788,"gpnc","adult"
"stairs_2",4,2.67747003156086,0.943035681126446,0.954634561138524,"gpnc","adult"
"alternating_diff_2",4,2.57722731174544,0.709136283327791,0.799755057149792,"gpnc","adult"
"hourglass_1",4,1.2749441868872,0.746577215763144,0.815683186597406,"gpnc","adult"
"square_spiral",4,1.42831500782755,0.919009101020931,0.935636576805277,"gpnc","adult"
"alternating_diff_1",4,1.28218865592036,0.339835190472674,0.56024111618773,"gpnc","adult"
"triangle_1",4,0.217178052634917,0.0646008932447968,0.224405032481762,"gpnc","adult"
"plus",4,1.25898331060825,0.608886438403093,0.714786465225675,"gpnc","adult"
"zigzag_1",4,0.657693064694177,0.419234839527205,0.576242023909133,"gpnc","adult"
"f_curly_2",4,1.71364800664138,0.927184466770942,0.94199779001975,"gpnc","adult"
"zigzag_widening",4,2.24545981971146,0.918082953638609,0.935292386972399,"gpnc","adult"
"square_2",4,0.844288584711784,0.416741352958967,0.594724429645301,"gpnc","adult"
"radial_1",4,0.295142758209387,0.0376665794618108,0.179123157653246,"gpnc","adult"
"zigzag_2",4,0.428837510537018,0.0950726001607032,0.279401693624581,"gpnc","adult"
"line",4,1.35258470266956,0.631382265161078,0.74591984936427,"gpnc","adult"
"stairs",4,2.26581938811861,0.892240095766352,0.915848469906552,"gpnc","adult"
"increasing_lines",4,1.75330712348669,0.905709154537614,0.928067433009822,"gpnc","adult"
"sine",4,2.41169134237924,0.959000322330675,0.966898052268018,"gpnc","adult"
"spiral_outward",4,0.443592356022008,0.157173571159122,0.352137016790343,"gpnc","adult"
"zigzag_3",4,0.495022555175727,0.203209688891967,0.391229858978185,"gpnc","adult"
"hexagon",5,0.575460299769344,0.359037592107708,0.527980996769095,"gpnc","adult"
"3_pts",5,0.111616090339672,0.0151747810821138,0.112581333424247,"gpnc","adult"
"stairs_2",5,1.58951205171929,0.742472292920761,0.80368540276112,"gpnc","adult"
"alternating_diff_2",5,1.75205158324552,0.406923098832228,0.591147289986882,"gpnc","adult"
"hourglass_1",5,1.08711882278603,0.734269150318859,0.806061913934371,"gpnc","adult"
"square_spiral",5,0.539569203059897,0.204623043168663,0.401112152186125,"gpnc","adult"
"alternating_diff_1",5,0.698679037556662,0.416031535284948,0.578506758464864,"gpnc","adult"
"triangle_1",5,0.0691524745323023,0.00584288748409953,0.0647429396844768,"gpnc","adult"
"plus",5,1.54246211242784,0.885236443680118,0.914777791042184,"gpnc","adult"
"zigzag_1",5,1.06145939230138,0.603787023723921,0.715578530825984,"gpnc","adult"
"f_curly_2",5,1.34185292071841,0.841118478409307,0.877653892207641,"gpnc","adult"
"zigzag_widening",5,0.920485830124713,0.47598270270326,0.628174463818409,"gpnc","adult"
"square_2",5,0.789669237032033,0.407715560085386,0.564829453071429,"gpnc","adult"
"radial_1",5,0.732425646037008,0.338814050806006,0.523731963253001,"gpnc","adult"
"zigzag_2",5,1.02979156161173,0.685629278366236,0.769679351213314,"gpnc","adult"
"line",5,0.897204951708831,0.404300606302754,0.581858315418727,"gpnc","adult"
"stairs",5,1.16872780141766,0.645637421952316,0.748392068397383,"gpnc","adult"
"increasing_lines",5,0.908950113652432,0.360782107911094,0.566062529452059,"gpnc","adult"
"sine",5,2.36958974638728,0.768560615467797,0.832545989540271,"gpnc","adult"
"spiral_outward",5,1.152806015243,0.782425080056946,0.839663544893263,"gpnc","adult"
"zigzag_3",5,0.505653001015023,0.196431731397602,0.386353033544016,"gpnc","adult"
"hexagon",6,0.837249195521427,0.602128090787439,0.709596229046022,"gpnc","adult"
"3_pts",6,0.485756644391159,0.193105056197903,0.410109281032481,"gpnc","adult"
"stairs_2",6,1.54850867109866,0.582308986529866,0.714074909726786,"gpnc","adult"
"alternating_diff_2",6,2.03815614532236,0.658330809239651,0.77010000372616,"gpnc","adult"
"hourglass_1",6,0.199532299944489,0.0462873274065926,0.182096157076368,"gpnc","adult"
"square_spiral",6,0.935074809031467,0.52446086840555,0.652214551618225,"gpnc","adult"
"alternating_diff_1",6,0.895566116131157,0.664085177996684,0.755882581806175,"gpnc","adult"
"triangle_1",6,0.0272290433133136,1.82532618552945e-06,0.00112482011355652,"gpnc","adult"
"plus",6,1.4274651187048,0.766984907698031,0.834880204274398,"gpnc","adult"
"zigzag_1",6,0.911004089746164,0.653970501138886,0.74537881264842,"gpnc","adult"
"f_curly_2",6,1.55534249003412,0.743103487139636,0.81644459124397,"gpnc","adult"
"zigzag_widening",6,1.05342639128916,0.513002091156877,0.662756322173491,"gpnc","adult"
"square_2",6,1.15341324547067,0.754655493730301,0.82040232963559,"gpnc","adult"
"radial_1",6,0.21756266030564,0.0489772784673975,0.186120371362566,"gpnc","adult"
"zigzag_2",6,1.11059742710406,0.489407985571529,0.644863778931078,"gpnc","adult"
"line",6,0.614792891529416,0.262186921831719,0.453293144546543,"gpnc","adult"
"stairs",6,0.860060654948513,0.393461803411925,0.572151513397882,"gpnc","adult"
