"func.type","tpt","emd","model","population"
"hexagon",3,0.946409033847892,"gpnc","adult"
"3_pts",3,0.830150651691371,"gpnc","adult"
"stairs_2",3,1.1751543025582,"gpnc","adult"
"alternating_diff_2",3,0.652100677987573,"gpnc","adult"
"hourglass_1",3,1.12182835968703,"gpnc","adult"
"square_spiral",3,0.966250801638728,"gpnc","adult"
"alternating_diff_1",3,0.974323165089231,"gpnc","adult"
"triangle_1",3,0.834428571271319,"gpnc","adult"
"plus",3,1.24593505226991,"gpnc","adult"
"zigzag_1",3,1.0476291114507,"gpnc","adult"
"f_curly_2",3,1.22547060438934,"gpnc","adult"
"zigzag_widening",3,4.22332747636813,"gpnc","adult"
"square_2",3,1.22624033713076,"gpnc","adult"
"radial_1",3,1.14872450724402,"gpnc","adult"
"zigzag_2",3,0.933809796112979,"gpnc","adult"
"line",3,2.00304906916594,"gpnc","adult"
"stairs",3,2.06152908685017,"gpnc","adult"
"increasing_lines",3,1.10693762142878,"gpnc","adult"
"sine",3,1.67622525707155,"gpnc","adult"
"spiral_outward",3,1.15957057049182,"gpnc","adult"
"zigzag_3",3,3.35749687934882,"gpnc","adult"
"hexagon",4,1.48429803487245,"gpnc","adult"
"3_pts",4,0.547011534018319,"gpnc","adult"
"stairs_2",4,2.67747003156086,"gpnc","adult"
"alternating_diff_2",4,2.57722731174544,"gpnc","adult"
"hourglass_1",4,1.2749441868872,"gpnc","adult"
"square_spiral",4,1.42831500782755,"gpnc","adult"
"alternating_diff_1",4,1.28218865592036,"gpnc","adult"
"triangle_1",4,0.217178052634917,"gpnc","adult"
"plus",4,1.25898331060825,"gpnc","adult"
"zigzag_1",4,0.657693064694177,"gpnc","adult"
"f_curly_2",4,1.71364800664138,"gpnc","adult"
"zigzag_widening",4,2.24545981971146,"gpnc","adult"
"square_2",4,0.844288584711784,"gpnc","adult"
"radial_1",4,0.295142758209387,"gpnc","adult"
"zigzag_2",4,0.428837510537018,"gpnc","adult"
"line",4,1.35258470266956,"gpnc","adult"
"stairs",4,2.26581938811861,"gpnc","adult"
"increasing_lines",4,1.75330712348669,"gpnc","adult"
"sine",4,2.41169134237924,"gpnc","adult"
"spiral_outward",4,0.443592356022008,"gpnc","adult"
"zigzag_3",4,0.495022555175727,"gpnc","adult"
"hexagon",5,0.575460299769344,"gpnc","adult"
"3_pts",5,0.111616090339672,"gpnc","adult"
"stairs_2",5,1.58951205171929,"gpnc","adult"
"alternating_diff_2",5,1.75205158324552,"gpnc","adult"
"hourglass_1",5,1.08711882278603,"gpnc","adult"
"square_spiral",5,0.539569203059897,"gpnc","adult"
