fn_x,fn_y,noise_x,noise_y,particle,pred_x,pred_y,prev_x,prev_y,score,sd_x,sd_y,seq_id,tpt,true_x,true_y,var_x,var_y,weight
,,,,1,,,,,,,,line,0,26.0,0.0,,,
,,,,2,,,,,,,,line,0,26.0,0.0,,,
,,,,3,,,,,,,,line,0,26.0,0.0,,,
,,,,4,,,,,,,,line,0,26.0,0.0,,,
,,,,5,,,,,,,,line,0,26.0,0.0,,,
,,,,6,,,,,,,,line,0,26.0,0.0,,,
,,,,7,,,,,,,,line,0,26.0,0.0,,,
,,,,8,,,,,,,,line,0,26.0,0.0,,,
,,,,9,,,,,,,,line,0,26.0,0.0,,,
,,,,10,,,,,,,,line,0,26.0,0.0,,,
,,,,11,,,,,,,,line,0,26.0,0.0,,,
,,,,12,,,,,,,,line,0,26.0,0.0,,,
,,,,13,,,,,,,,line,0,26.0,0.0,,,
,,,,14,,,,,,,,line,0,26.0,0.0,,,
,,,,15,,,,,,,,line,0,26.0,0.0,,,
,,,,16,,,,,,,,line,0,26.0,0.0,,,
,,,,17,,,,,,,,line,0,26.0,0.0,,,
,,,,18,,,,,,,,line,0,26.0,0.0,,,
,,,,19,,,,,,,,line,0,26.0,0.0,,,
,,,,20,,,,,,,,line,0,26.0,0.0,,,
,,,,1,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,2,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,3,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,4,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,5,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,6,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,7,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,8,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,9,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,10,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,11,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,12,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,13,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,14,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,15,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,16,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,17,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,18,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,19,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,20,,,1.0,0.0,,,,line,1,24.7,1.0,,,
"SquaredExponential(0.2928177643309775, 2, 1)","SquaredExponential(0.25265893437313197, 3, 1)",0.0037847335727414,0.0074500132843906,1,24.595376380212706,1.1218029062852335,1.0,-1.0,4.175421436185065,1.6071703084146323,1.5220216738136538,line,2,23.4,2.0,0.0169351826796019,0.0256681437735015,-2.837902722517163
"SquaredExponential(0.6430299228151286, 2, 1)","SquaredExponential(0.16748933183367226, 2, 1)",0.0098528600631882,0.0065651311887968,2,24.553191254471376,1.1396873513595414,1.0,-1.0,4.175404102248314,1.907914844753388,1.6284481162030697,line,2,23.4,2.0,0.0238662430449956,0.0293833048993388,-2.8378845405373743
"SquaredExponential(0.5000546903748008, 3, 1)","SquaredExponential(0.38061470240215867, 2, 1)",0.0017058300241901,0.0052989251480326,3,24.644867589899246,1.084399853844778,1.0,-1.0,4.175431042068229,1.1666399234078488,1.2668596936336762,line,2,23.4,2.0,0.0089235929839143,0.0177831964914527,-2.8378770832149502
"SquaredExponential(0.6702587041712286, 3, 1)","SquaredExponential(0.4286166532422403, 2, 1)",0.0052317436680026,0.003969353610569,4,24.610362884542802,1.0680875640759528,1.0,-1.0,4.1754280247114,1.4891417581959365,1.13760468011412,line,2,23.4,2.0,0.0145391216115844,0.0143395502295573,-2.8379023682418723
"SquaredExponential(0.7480883724966011, 3, 1)","SquaredExponential(0.8734467306417506, 1, 1)",0.0034147527543804,0.0013803616067794,5,24.63520491903069,1.0281270078936748,1.0,-1.0,4.175435360844817,1.2655792597437394,0.7309983671374992,line,2,23.4,2.0,0.0105013415246505,0.0059208710554868,-2.83787865003423
"SquaredExponential(0.9326578193315348, 2, 1)","SquaredExponential(0.9715065497241113, 1, 1)",0.0018864827611236,0.0061778617826943,6,24.658453584135238,1.071780392181312,1.0,-1.0,4.175428387318118,1.0131154982900035,1.1692171454721687,line,2,23.4,2.0,0.0067295186800334,0.015147575991868,-2.8378848111959813
"SquaredExponential(0.18906682235524755, 2, 1)","SquaredExponential(0.1206669090280676, 1, 1)",0.0081287807743028,0.0095927306319748,7,24.511004387101863,1.19765457846018,1.0,-1.0,4.175399682359924,2.1610480440364226,1.93701311080194,line,2,23.4,2.0,0.0306192768190506,0.0415736264977131,-2.8379110131868552
