fn_x,fn_y,noise_x,noise_y,particle,pred_x,pred_y,prev_x,prev_y,score,sd_x,sd_y,seq_id,tpt,true_x,true_y,var_x,var_y,weight
,,,,1,,,,,,,,line,0,26.0,0.0,,,
,,,,2,,,,,,,,line,0,26.0,0.0,,,
,,,,3,,,,,,,,line,0,26.0,0.0,,,
,,,,4,,,,,,,,line,0,26.0,0.0,,,
,,,,5,,,,,,,,line,0,26.0,0.0,,,
,,,,6,,,,,,,,line,0,26.0,0.0,,,
,,,,7,,,,,,,,line,0,26.0,0.0,,,
,,,,8,,,,,,,,line,0,26.0,0.0,,,
,,,,9,,,,,,,,line,0,26.0,0.0,,,
,,,,10,,,,,,,,line,0,26.0,0.0,,,
,,,,11,,,,,,,,line,0,26.0,0.0,,,
,,,,12,,,,,,,,line,0,26.0,0.0,,,
,,,,13,,,,,,,,line,0,26.0,0.0,,,
,,,,14,,,,,,,,line,0,26.0,0.0,,,
,,,,15,,,,,,,,line,0,26.0,0.0,,,
,,,,16,,,,,,,,line,0,26.0,0.0,,,
,,,,17,,,,,,,,line,0,26.0,0.0,,,
,,,,18,,,,,,,,line,0,26.0,0.0,,,
,,,,19,,,,,,,,line,0,26.0,0.0,,,
,,,,20,,,,,,,,line,0,26.0,0.0,,,
,,,,1,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,2,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,3,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,4,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,5,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,6,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,7,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,8,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,9,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,10,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,11,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,12,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,13,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,14,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,15,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,16,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,17,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,18,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,19,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,20,,,1.0,0.0,,,,line,1,24.7,1.0,,,
"Constant(0.7631482356562507, 1)","Periodic(0.784867764073153, 0.7668144240089262, 1, 1)",0.0038881725377425,0.0092544135781281,1,24.637396803687345,2.9658172561184104,1.0,-1.0,2.482192120576295,1.087686284376837,5.813431388715669,line,2,23.4,2.0,0.0077566355994787,0.3744707425075302,-2.9986223443078632
"Constant(0.6970638402840906, 1)","SquaredExponential(0.0010238389138345575, 2, 1)",0.0055927665736562,0.0006376908398398,2,24.601700679235716,8.045650240595808,1.0,-1.0,2.466320550384433,1.3035550927337123,9.180407262962147,line,2,23.4,2.0,0.0111410177501155,0.9338490583251872,-3.738066721749576
"SquaredExponential(0.5363663859700232, 1, 1)","Constant(0.5631778196053091, 1)",0.0003517481133517,0.0060842834351771,3,24.66381877250043,1.101536168182395,1.0,-1.0,2.404839400257404,0.9448180388351948,1.0451527635714861,line,2,23.4,2.0,0.0058527832058115,0.0121035379412866,-2.9409541021904197
"Constant(0.3310591848863692, 1)","Constant(0.6571223755558575, 1)",0.0034452553754701,0.0081468710819279,4,24.57280018210296,1.116336769916038,1.0,-1.0,3.105085006059884,1.0225192972184611,1.2089277538196228,line,2,23.4,2.0,0.006855026066214,0.0161939757778987,-2.8399977126420115
"Periodic(0.2924403555468916, 0.3688592782113319, 2, 1)","Periodic(0.4744208140788446, 0.8609945507350181, 1, 1)",0.0068177064770935,6.281174844110921e-05,5,13.872284061757899,3.434147959260146,1.0,-1.0,1.4028384995520684,12.29752844549618,6.350296665721027,line,2,23.4,2.0,0.991520633793622,0.4468284514423002,-7.243612018143406
"Constant(0.9621849160672432, 1)","SquaredExponential(0.9751504456910385, 2, 1)",0.0039156478355002,0.0003323385743889,6,24.649944909903503,1.0166353046106262,1.0,-1.0,2.501161484907161,1.0918004476006802,0.5620489345138918,line,2,23.4,2.0,0.007815425379082,0.0035002659810327,-2.839987809284335
"Constant(0.7594186057327217, 1)","Linear(0.6675431960855226, 1, 1)",0.0061769517505205,0.0069409719883887,7,24.60035815467673,1.88323171444988,1.0,-1.0,2.273511342127751,1.36990767326925,1.0722910801327588,line,2,23.4,2.0,0.0123040668313328,0.0127402566263964,-3.0466179220591423
