fn_x,fn_y,noise_x,noise_y,particle,pred_x,pred_y,prev_x,prev_y,score,sd_x,sd_y,seq_id,tpt,true_x,true_y,var_x,var_y,weight
,,,,1,,,,,,,,line,0,26.0,0.0,,,
,,,,2,,,,,,,,line,0,26.0,0.0,,,
,,,,3,,,,,,,,line,0,26.0,0.0,,,
,,,,4,,,,,,,,line,0,26.0,0.0,,,
,,,,5,,,,,,,,line,0,26.0,0.0,,,
,,,,6,,,,,,,,line,0,26.0,0.0,,,
,,,,7,,,,,,,,line,0,26.0,0.0,,,
,,,,8,,,,,,,,line,0,26.0,0.0,,,
,,,,9,,,,,,,,line,0,26.0,0.0,,,
,,,,10,,,,,,,,line,0,26.0,0.0,,,
,,,,11,,,,,,,,line,0,26.0,0.0,,,
,,,,12,,,,,,,,line,0,26.0,0.0,,,
,,,,13,,,,,,,,line,0,26.0,0.0,,,
,,,,14,,,,,,,,line,0,26.0,0.0,,,
,,,,15,,,,,,,,line,0,26.0,0.0,,,
,,,,16,,,,,,,,line,0,26.0,0.0,,,
,,,,17,,,,,,,,line,0,26.0,0.0,,,
,,,,18,,,,,,,,line,0,26.0,0.0,,,
,,,,19,,,,,,,,line,0,26.0,0.0,,,
,,,,20,,,,,,,,line,0,26.0,0.0,,,
,,,,1,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,2,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,3,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,4,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,5,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,6,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,7,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,8,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,9,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,10,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,11,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,12,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,13,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,14,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,15,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,16,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,17,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,18,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,19,,,1.0,0.0,,,,line,1,24.7,1.0,,,
,,,,20,,,1.0,0.0,,,,line,1,24.7,1.0,,,
"Plus(SquaredExponential(0.07204833428613344, 2, 1), Periodic(0.6402304726651596, 0.8837184642514955, 2, 1), 3)","Periodic(0.5301580123165353, 0.18842291290395888, 1, 1)",1.4759522612892648e-08,1.4237120241556792e-08,1,23.419292981885757,8.965224516857152,1.0,-1.0,14.944187143114869,7.745097558990997,9.375209510308125,line,2,23.4,2.0,0.3932963084022902,0.9739008682789132,-2.8378770668571844
"Plus(SquaredExponential(0.09137522792022285, 1, 1), Linear(0.3014398092898072, 1, 1), 3)","Plus(SquaredExponential(0.49793559400950627, 3, 1), Linear(0.8471667587725182, 3, 1), 3)",0.0091191724671332,9.10992560949548e-06,2,24.250579394047683,1.262017333049077,1.0,-1.0,-7.895037364095048,2.751602043030015,0.7970411949217577,line,2,23.4,2.0,0.049640635337127,0.0070390544753717,-2.837877066442224
"Plus(Linear(0.2769679218982411, 3, 1), Times(Constant(0.12911238552516635, 1), Periodic(0.22998087053507357, 0.7816144924405657, 3, 1), 3), 5)","Plus(Linear(0.9292128544389384, 1, 1), Times(Constant(0.5127102259989248, 1), Times(Constant(0.4580965386588933, 1), Linear(0.7095651212332447, 1, 1), 3), 5), 7)",0.0001600588031296,7.415354918540606e-05,3,19.79459752114156,1.5588388422605293,1.0,-1.0,-18.909091623890607,3.997122492108748,0.1252072286495728,line,2,23.4,2.0,0.1047516806826642,0.0001737047103169,-8.509774640032507
"Plus(Periodic(0.30630516919083944, 0.9120595669830078, 1, 1), Periodic(0.1568971776572786, 0.9143475671011698, 2, 1), 3)","Plus(Linear(0.6310067038261582, 3, 1), Constant(0.982316862232892, 1), 3)",0.0200623593183224,7.613009958151178e-05,4,19.15704126917329,1.2290630591894616,1.0,-1.0,-9.530585126080917,14.645949611376478,0.4375888221416697,line,2,23.4,2.0,1.4063750595418965,0.0021217061192613,-2.933544751957648
"SquaredExponential(0.395316805353768, 3, 1)","Periodic(0.7027204050403872, 0.1568655051307527, 1, 1)",2.2084405631117278e-18,0.0030934082092165,5,24.65679364558657,7.1865535728928815,1.0,-1.0,29.33646955086969,1.0321488411465185,8.917195177466873,line,2,23.4,2.0,0.0069847480226202,0.8810678097843598,-2.8705090457772893
