degree,particle,pred_x,pred_y,prev_x,prev_y,score,sd_x,sd_y,seq_id,terms,tpt,true_x,true_y,weight,weights_x,weights_y
1,1,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[-5.212289098452255, -7.73183900102599, 1.0856818667644217, -0.7521768009656961]","[2.7422061364193686, 5.936150033316272, 1.4860958926660837, -3.3393796240176394]"
1,2,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[-3.471051076176357, 2.7536770755529725, 3.504202080623387, 6.385661924596659]","[5.314007135339581, 0.3220108679356146, 4.023457506481217, 3.4781842547915565]"
1,3,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[15093.767572386278, 24916.78347322564, -6960.754938163835, -20807.07843102639]","[-7328.4981769826, -5358.701674483631, -19327.93617627269, 10818.376582130115]"
1,4,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[0.07795618157654383, 1.2956398020914313, -1.0522487948213335, -0.18650729292805904]","[0.5491937200128957, 0.41857865892357654, 0.7305047993325323, -0.7072573161375604]"
1,5,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[-1.1967023831910126, 0.5345825183420554, -1.534947926562092, 1.1316617595906455]","[0.20043055682959368, 0.32012169061488494, -0.048672699576461885, 0.919533654617857]"
1,6,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[-1.785721895087496, 0.5939474880501548, 0.4547654574628759, -0.005870785045508648]","[-0.05945081442630485, 0.121196242825572, -1.8981683721572764, 0.177514360315356]"
1,7,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[-2.5838104794803924, 2.8224946365918124, -1.0589157703874004, -0.8340831048944101]","[1.7895880628875231, 0.23721078910796195, -0.7010574812871546, -1.5672860596237514]"
1,8,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[0.2685360129501309, 0.1432913384658661, -0.3338324384122102, 0.24522642875029754]","[-0.9654040835429142, -6.880933971848408, -0.27125131529876145, 0.3307332619993783]"
1,9,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[2.145499388913987, -14.433493582303104, -17.009942241530776, -13.066363426118045]","[-11.974995797171593, 7.214358206529383, 3.45394876686345, -18.515402106494996]"
1,10,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[0.004834105037168569, 1.8788090859469113, 5.129365074067524, 1.9685013297005298]","[3.134399515829495, -2.843188946560634, 0.1933126625285255, -0.14890820296064602]"
1,11,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[-1.4517606753978987, 0.4227029632502756, -0.7116843949835147, -1.059474848547735]","[0.7046705209053608, 0.025999253245756623, -0.20644650418757876, 0.09807695636665692]"
1,12,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[-0.6983527480563433, -0.8318767322185067, 0.3618465832851845, -0.35654905474069387]","[0.051612479818408996, 0.05806084724146667, -0.6380180961440725, -0.15150031037975767]"
1,13,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[3.9061993865570948, -1.330500946614756, 0.698190223653758, -6.206296124447852]","[-9.791777563936504, -0.6005379125260869, -1.0614064373288206, -11.484944893694589]"
1,14,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[4696.501424291231, -194.33845292634933, -9.991079638808296, 114.18552314355999]","[1027.3285316938734, 634.8489469168317, -1774.571301475476, 451.4879510776847]"
1,15,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[0.5014762947274235, -0.08246886294546667, -0.43515424207000686, -0.9454177395626984]","[0.3177489356346126, 0.5010899995771615, 0.15177877023200878, -0.1439777119450928]"
1,16,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[1.582973117811481, -0.9253013939180664, 0.701395035937396, 1.6759123272480896]","[0.6830726141913989, 2.4722727850668442, -1.672597404994616, -1.227682339389158]"
1,17,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[-9.095586368872192, -0.36722688802327536, -2.5531326574206807, -0.5141932919136494]","[18.180703338326698, -11.999177072862926, 14.15410256255577, 4.949424962375733]"
1,18,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[-0.3815352142835734, 0.10335372059253933, -1.0463817595005565, 0.382948570855838]","[-0.47258075448166514, -0.07580429430137905, 1.5629246855949488, 0.21510781510363697]"
1,19,,,,,,,,line,"[[0, 0, 0], [0, 0, 1], [0, 1, 0], [1, 0, 0]]",0,26.0,0.0,,"[0.4239487911003473, -9.4758299884279, -8.473426985911743, 5.56454874143601]","[-6.731123994752439, 4.778389421892166, 3.2607919733220214, -0.2131327014424761]"
