"","func","init_angle","init_speed","particle","pred_x","pred_y","scale_x","scale_y","score","seq_id","shape_x","shape_y","tpt","true_x","true_y","sampled_sd_x","sampled_sd_y","sd_x","sd_y"
"1","",NA,NA,20,26,0,NA,NA,1,"line",NA,NA,0,26,0,NA,NA,0,0
"2","apply_expr_to_op_func(lambda_op(move_ts(real(6.21470347333058), real(0.5003714176658148))), real(-3.8465819368861904))",3.22850575386617,0.041658245992236,20,24.7,1,17.7976101138123,83.1510437894879,1,"line",27.3722081041602,72.6035862736068,1,24.7,1,0.104207225601946,0.103166747336727,0,0
"3","repeat(move_y(round(real(1.9861298418744961))), int(3))",2.54191080337078,0.945522061528594,20,23.4,2,53.0618617093272,31.0504107670269,1,"line",88.1722038214096,54.8086356716304,2,23.4,2,0.0363354462167603,0.0916736147413796,0,0
"4","move_ts(real(1.546072138496048), arithmetic_type(mod(round(arithmetic_type(times(int(1), int(1)))), int(2))))",-3.49241410533781,0.526967447340199,20,22.1,3,61.5162327247963,83.217170590529,1,"line",36.5325146484292,71.6538472368303,3,22.1,3,0.0366869190707079,0.0277788414322533,0,0
"5","move()",-2.45608600068612,1.04897175085035,20,20.8,4,54.09285954465,87.4666026147943,1,"line",40.1054450190134,19.7877566632441,4,20.8,4,0.0361615554230531,0.0483171941800287,0,0
"6","repeat(move(), round(int(11)))",-2.41542199892125,1.03581733868343,20,19.5,5,110.42060755124,70.4683421966175,1,"line",46.6062093186832,82.2111442113474,5,19.5,5,0.0234197272521517,0.0202100204303816,0,0
"7","move_s(int(1))",1.59130238957504,0.313748291903628,20,18.2,6,61.3631972408732,34.1510019757467,1,"line",62.3387845380142,96.9168903121872,6,18.2,6,0.0272767813105426,0.0282669335680538,0,0
"8","move_s(int(1))",1.60472864774174,5.27127581136688,20,16.9,7,42.8066810872971,61.131639757296,1,"line",48.5895228262695,54.6882497165128,7,16.9,7,0.038264893929198,0.0309996932605842,0,0
"9","apply_expr_to_op_func(lambda_op(move_s(bv_1())), arithmetic_type(mod(round(arithmetic_type(mod(int(9), round(arithmetic_type(minus(apply_expr_to_expr_func(lambda_expr(bv_1()), real(-1.6888213635475398)), arithmetic_type(mod(round(real(2.223449198281139)), int(5))))))))), int(6))))",1.57451467131165,2.69819446433297,20,15.6,8,41.8868111079095,126.994003350774,1,"line",59.3477327246284,41.9037419803735,8,15.6,8,0.0328070885697213,0.0199326607003228,0,0
"10","move_xy(real(-0.8182177068515142), arithmetic_type(divide(int(3), int(5))))",3.95642643497921,0.796089065351879,20,14.3,9,78.4136273546732,68.1494399264578,1,"line",43.6631199246451,49.2405012775001,9,14.3,9,7.59751091747374,1.54519203617423,0,0
