"","X.1","X","r_id","monkey_name","func_id","game_n","min_distance","max_distance","correct_distance","Current_time","screen_w","screen_h","width","height","level","n","x_curr","y_curr","x_next","y_next","x_pred","y_pred","correct","attempt_number","dist_from_prev","dist_from_true","RT","total_correct","guess_number","func.type","mode","min_x","min_y","max_x","max_y"
"1",1,0,26432127,"BP24","example_line",7,0.6,2000,1.60105230412542,"Wed May  8 13:08:35 2024",1536,864,1536,864,NA,1,26,0,24.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"2",2,1,26432127,"BP24","example_line",7,0.6,2000,1.60105230412542,"Wed May  8 13:08:37 2024",1536,864,1536,864,NA,2,24.7,1,23.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"3",3,2,26432127,"BP24","example_line",7,0.6,2000,1.60105230412542,"Wed May  8 13:08:40 2024",1536,864,1536,864,NA,3,23.4,2,22.1,3,20.8111945746725,2.33435563479346,1,1,108,60,1.44909811019897,1,1,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"4",4,3,26432127,"BP24","example_line",7,0.6,2000,1.60105230412542,"Wed May  8 13:08:42 2024",1536,864,1536,864,NA,4,22.1,3,20.8,4,21.4904288855136,6.38550313159565,0,1,142,102,0.0435009002685546,1,2,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"5",5,4,26432127,"BP24","example_line",7,0.6,2000,1.60105230412542,"Wed May  8 13:08:43 2024",1536,864,1536,864,NA,5,20.8,4,19.5,5,18.2883242772627,4.76019245922591,1,1,108,51,0.169030427932739,2,3,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"6",6,5,26432127,"BP24","example_line",7,0.6,2000,1.60105230412542,"Wed May  8 13:08:45 2024",1536,864,1536,864,NA,6,19.5,5,18.2,6,18.2883242772627,5.77904392548754,1,1,59,10,0.825140476226807,3,4,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"7",7,6,26432127,"BP24","example_line",7,0.6,2000,1.60105230412542,"Wed May  8 13:08:48 2024",1536,864,1536,864,NA,7,18.2,6,16.9,7,17.9244487535979,6.62808681403889,1,1,28,45,1.73108839988708,4,5,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"8",8,7,26432127,"BP24","example_line",7,0.6,2000,1.60105230412542,"Wed May  8 13:09:01 2024",1536,864,1536,864,NA,8,16.9,7,15.6,8,-2.91348956827687,0.393686175247498,0,1,861,825,10.7217814922333,4,6,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"9",9,8,26432127,"BP24","example_line",7,0.6,2000,1.60105230412542,"Wed May  8 13:09:03 2024",1536,864,1536,864,NA,9,15.6,8,14.3,9,14.3342102534378,9.27224895267026,1,1,74,11,0.167440891265869,5,7,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"10",10,9,26432127,"BP24","example_line",7,0.6,2000,1.60105230412542,"Wed May  8 13:09:05 2024",1536,864,1536,864,NA,10,14.3,9,13,10,14.4312437264151,10.4609089966422,1,1,60,62,1.32747936248779,6,8,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"11",11,10,26432127,"BP24","example_line",7,0.6,2000,1.60105230412542,"Wed May  8 13:09:07 2024",1536,864,1536,864,NA,11,13,10,11.7,11,11.8841150607611,11.2856935169492,1,1,70,14,0.789733409881592,7,9,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"12",12,11,26432127,"BP24","example_line",7,0.6,2000,1.60105230412542,"Wed May  8 13:09:10 2024",1536,864,1536,864,NA,12,11.7,11,10.4,12,12.0539236384713,12.3288033514552,0,1,57,70,0.292154312133789,7,10,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"13",13,12,26432127,"BP24","example_line",7,0.6,2000,1.60105230412542,"Wed May  8 13:09:16 2024",1536,864,1536,864,NA,13,10.4,12,9.1,13,7.46909204029402,12.3530617196995,0,1,122,72,4.43769788742065,7,11,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"14",14,13,26432127,"BP24","example_line",7,0.6,2000,1.60105230412542,"Wed May  8 13:09:29 2024",1536,864,1536,864,NA,14,9.1,13,7.8,14,18.9675585881038,15.2155491725298,0,1,417,463,10.0612671375275,7,12,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"15",15,504,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:20 2024",1536,864,1536,864,NA,1,26,0,24.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"16",16,505,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:21 2024",1536,864,1536,864,NA,2,24.7,1,23.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"17",17,506,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:23 2024",1536,864,1536,864,NA,3,23.4,2,22.1,3,22.048371355133,2.98933157739022,1,1,69,2,0.085024356842041,1,1,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"18",18,507,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:26 2024",1536,864,1536,864,NA,4,22.1,3,20.8,4,19.3314341117687,3.42598220578806,1,1,115,65,1.61578869819641,2,2,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"19",19,508,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:28 2024",1536,864,1536,864,NA,5,20.8,4,19.5,5,18.5794246961946,6.94344560121511,0,1,152,89,0.0857031345367431,2,3,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"20",20,509,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:30 2024",1536,864,1536,864,NA,6,19.5,5,18.2,6,16.8328221826033,7.13751254716971,0,1,141,73,0.373248100280762,2,4,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"21",21,510,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:32 2024",1536,864,1536,864,NA,7,18.2,6,16.9,7,17.5120564934444,6.72512028701619,1,1,41,28,0.0441126823425293,3,5,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"22",22,511,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:34 2024",1536,864,1536,864,NA,8,16.9,7,15.6,8,15.8139707163416,6.48253660457295,1,1,50,63,1.37602782249451,4,6,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"23",23,512,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:37 2024",1536,864,1536,864,NA,9,15.6,8,14.3,9,13.4366506283978,6.21569455388538,0,1,116,120,1.03664946556091,4,7,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"24",24,513,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:39 2024",1536,864,1536,864,NA,10,14.3,9,13,10,12.7088995810681,9.66038284457946,1,1,71,18,0.248408079147339,5,8,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"25",25,514,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:42 2024",1536,864,1536,864,NA,11,13,10,11.7,11,12.3450240574032,9.39354079389189,0,1,37,71,1.16518783569336,5,9,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"26",26,515,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:44 2024",1536,864,1536,864,NA,12,11.7,11,10.4,12,11.0835889086984,9.95148326351135,0,1,50,89,0.126081705093384,5,10,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"27",27,516,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:46 2024",1536,864,1536,864,NA,13,10.4,12,9.1,13,7.54186714502699,12.9110041893189,1,1,124,64,0.12568736076355,6,11,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"28",28,517,33163470,"BP24","example_line",43,0.6,2000,1.60105230412542,"Tue Feb  6 13:17:49 2024",1536,864,1536,864,NA,14,9.1,13,7.8,14,13.5336841013751,11.7708608818357,0,1,190,254,1.40442705154419,6,12,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"29",29,588,1232483,"BP24","example_line",7,0.6,2000,1.60105230412542,"Fri Apr 12 11:15:14 2024",1536,864,1536,864,NA,1,26,0,24.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
"30",30,589,1232483,"BP24","example_line",7,0.6,2000,1.60105230412542,"Fri Apr 12 11:15:16 2024",1536,864,1536,864,NA,2,24.7,1,23.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"line","test",-5.63042681164121,-0.479615081548184,31.6304268116412,20.4796150815482
