"seq_id","tpt","true_x","true_y","in_kids"
"sine",0,0,0,TRUE
"sine_line",0,0,0,FALSE
"line",0,0,0,FALSE
"spiral_inward",0,1,1,FALSE
"spiral_outward",0,1,1,TRUE
"triangle_1",0,0,0,TRUE
"triangle_2",0,0,0,FALSE
"square_1",0,0,0,FALSE
"square_2",0,0,0,TRUE
"hexagon",0,0,0,TRUE
"octagon",0,0,0,FALSE
"star_octagon",0,0,0,FALSE
"star_hexagon",0,0,0,FALSE
"star_pentagon",0,0,0,FALSE
"increasing_sine",0,0,0,FALSE
"radial_1",0,0,0,TRUE
"radial_2",0,0,0,FALSE
"plus",0,0,0,TRUE
"radial_increasing",0,0,0,FALSE
"spiky_circle_1",0,5,0,FALSE
"spiky_circle_2",0,5,0,FALSE
"oval",0,5,0,FALSE
"zigzag_widening",0,0,0,TRUE
"zigzag_increasing",0,0,0,FALSE
"zigzag_increasing_widening",0,0,0,FALSE
"quadratic",0,-10,7.5,FALSE
"cubic",0,-10,5,FALSE
"gold_star",0,0,0,FALSE
"2_pts",0,0,0,FALSE
"3_pts",0,0,0,TRUE
"square_spiral",0,0,0,TRUE
"hexagon_spiral",0,0,0,FALSE
"star_spiral",0,0,0,FALSE
"triangle_spiral",0,0,0,FALSE
"f_curly_1",0,1,0,FALSE
"f_curly_2",0,1,0,TRUE
"hourglass_1",0,0,0,TRUE
"hourglass_2",0,0,0,FALSE
"3_lines_of_3",0,0,0,FALSE
"increasing_lines",0,0,0,TRUE
"zigzag_1",0,0,0,TRUE
"zigzag_2",0,0,0,TRUE
"zigzag_3",0,0,0,TRUE
"stairs",0,0,0,TRUE
"stairs_2",0,0,0,TRUE
"growing_stairs_1",0,0,0,FALSE
"growing_stairs_2",0,0,0,FALSE
"alternating_diff_1",0,0,0,TRUE
"alternating_diff_2",0,0,0,TRUE
"alternating_diff_3",0,0,0,FALSE
"sine",1,1,2.52441295442369,TRUE
"sine_line",1,1,3.52441295442369,FALSE
"line",1,1,1,FALSE
"spiral_inward",1,5,1,FALSE
"spiral_outward",1,1.75,1,TRUE
"triangle_1",1,1,0,TRUE
"triangle_2",1,1,0,FALSE
"square_1",1,1,0,FALSE
"square_2",1,1,0,TRUE
"hexagon",1,1,0,TRUE
"octagon",1,1,0,FALSE
"star_octagon",1,1,0,FALSE
"star_hexagon",1,1,0,FALSE
"star_pentagon",1,1,0,FALSE
"increasing_sine",1,1,0.285068130811065,FALSE
"radial_1",1,0.949595443096897,-0.313478060555453,TRUE
"radial_2",1,-0.0321786730506267,-0.999482132406928,FALSE
