changepoints,func,init_angle,init_speed,particle,pred_x,pred_y,scale_x,scale_y,score,seq_id,shape_x,shape_y,tpt,true_x,true_y,sampled_sd_x,sampled_sd_y,sd_x,sd_y
,,,,1,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,2,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,3,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,4,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,5,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,6,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,7,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,8,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,9,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,10,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,11,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,12,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,13,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,14,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,15,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,16,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,17,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,18,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,19,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,20,,,,,,line,,,0,26.000000000000007,0.0,,,,
,,,,1,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
,,,,2,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
,,,,3,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
,,,,4,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
,,,,5,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
,,,,6,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
,,,,7,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
,,,,8,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
,,,,9,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
,,,,10,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
,,,,11,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
,,,,12,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
,,,,13,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
,,,,14,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
,,,,15,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
,,,,16,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
,,,,17,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
,,,,18,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
,,,,19,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
,,,,20,,,,,,line,,,1,24.700000000000006,1.0000000000000002,,,,
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.4479912552078291,1.315818792441093,1,26.345448864708377,-0.39639099035535047,2.7653704103114736,20.556199195980252,-23.457775782771307,line,50.16405782026728,111.10158208971627,2,23.400000000000006,2.0000000000000004,0.5310031638902754,0.2690055150281979,0.32375834306913365,0.1640155572406059
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-3.1001358977928595,0.4933168879944198,2,24.82674169034344,1.7991114557784988,36.68778718959289,44.77763994385717,-19.675889349970674,line,70.84936556383913,54.91327067303095,2,23.400000000000006,2.0000000000000004,0.2028228161435712,0.06241646318688003,0.12366325354857405,0.038055989259219436
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",2.7574176415795346,0.5735623317962409,3,24.35015570978797,0.12675985207307156,9.622584811081824,13.800860333389997,-18.810539222029657,line,73.9345634253186,60.98556139073607,2,23.400000000000006,2.0000000000000004,0.162529514299464,0.2920406853820085,0.09909599382405715,0.17806034848333002
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-2.1278988308512456,0.1699654489342867,4,24.426842780746355,1.0556285572001358,10.510009272671564,36.65705983346998,-18.304568827464674,line,56.5855548012652,50.14351280370388,2,23.400000000000006,2.0000000000000004,0.19210354331520402,0.16608256686001271,0.11712759755663486,0.10126232820408824
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.069204363823233,3.3628133839809973,5,24.1016206663595,-4.482868268006974,46.30173819013229,11.385789275435464,-20.17296840507324,line,59.82763839756765,73.8449884719983,2,23.400000000000006,2.0000000000000004,0.11647188453464413,0.8768600178328628,0.07101416133721539,0.5346309886315496
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.828513348149345,1.1572611660126462,6,22.870396911093305,0.49488199381332304,15.675952199691888,17.017720332587214,-20.500855990255047,line,68.91254482720335,51.02107482883047,2,23.400000000000006,2.0000000000000004,0.10993175539694541,0.25960110587376967,0.06702657422461386,0.15828158777971763
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",3.155244759340412,1.5013692946289994,7,25.29454891260693,-1.3895746152479282,23.77532436369856,1.8603924431071728,-21.59273955945013,line,61.2272552650726,89.7361190554326,2,23.400000000000006,2.0000000000000004,0.28833948203783666,0.46298473735009893,0.1758036849762956,0.2822867764715238
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.2427746892513083,2.2351762185433928,8,23.335626442536224,-2.4026106203704014,15.073269831185804,10.019089878969105,-18.994106469764358,line,43.85704274643074,65.00231031064428,2,23.400000000000006,2.0000000000000004,0.1046342471324038,0.6395536940340798,0.06379662643003266,0.3899427693937501
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.6432829473148374,2.558941787019669,9,21.144825659428793,-1.2305487810648967,26.965431793083656,30.724960558366032,-18.85797393580249,line,64.26404698466432,58.91356875395076,2,23.400000000000006,2.0000000000000004,0.33130656575207984,0.49012593150946343,0.20200117827919922,0.29883505461279913
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.407505511335283,1.5249077918793583,10,23.206176488457658,-1.0059077914273051,32.6866806064273,28.43480843878794,-18.806456707862544,line,66.59489213480175,57.00523993375881,2,23.400000000000006,2.0000000000000004,0.06365971068095459,0.46449734615011956,0.03881401063475611,0.2832090303338523
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-3.572254456562443,3.020376499699938,11,28.577029301264677,4.0836078536306895,47.10096078260694,9.626502950403369,-24.65301865602419,line,129.43628243224413,93.2738516582261,2,23.400000000000006,2.0000000000000004,0.5278372243958513,0.2651132281742811,0.3218280356911843,0.16164238806145903
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.2995120789282657,0.8952314860778862,12,24.03441370489998,2.308765413102924,40.70092008022263,12.399443871907463,-21.80717459672936,line,125.19246839794673,59.77528244833567,2,23.400000000000006,2.0000000000000004,0.07563924519736824,0.10867066119612662,0.04611806173938383,0.06625767151992949
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",2.9327740318370985,1.5349554578991946,13,24.434648575577643,-1.503490769877712,7.592522339048162,31.16184998894247,-18.54221346299379,line,59.712704102335074,41.931183349338575,2,23.400000000000006,2.0000000000000004,0.19934988367954776,0.6281343806908141,0.12154576925355473,0.3829802911668465
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.766634366989983,2.1033350894157827,14,21.479466018852506,-0.23643464723507682,42.30096828237068,2.8570092733124457,-20.94038298926697,line,68.48521387293647,60.92139679675079,2,23.400000000000006,2.0000000000000004,0.2727511089859046,0.38827970457462085,0.16629928618239323,0.23673831409868584
Any[],"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.1678129228872862,0.4431820834456214,15,25.40176520626346,0.8106076526821007,22.605651883675584,4.588569623628937,-18.978635570755007,line,41.05065497224648,69.82300294923488,2,23.400000000000006,2.0000000000000004,0.37069266685079494,0.22244456613156602,0.2260153079469997,0.13562684566295682
