"func","init_angle","init_speed","particle","pred_x","pred_y","scale_x","scale_y","score","seq_id","shape_x","shape_y","tpt","true_x","true_y","sd_x","sd_y"
"",NA,NA,1,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,2,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,3,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,4,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,5,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,6,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,7,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,8,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,9,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,10,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,11,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,12,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,13,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,14,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,15,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,16,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,17,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,18,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,19,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,20,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"flip_angle()",-3.59356258811651,1.57708969742654,1,26,0,79.9021060779334,82.9970517293476,-23.6035613944073,"line",106.82524499908,123.801848958518,1,24.7,1,0.0177525227506658,0.0161801015079855
"change_angle(real(1.8356274848311172))",0.647144614970111,2.51949682660565,2,26,0,83.1043212511103,110.718075121775,-28.6764370383728,"line",159.603762350991,94.402789552605,1,24.7,1,0.0142410750190324,0.0160425892014734
"flip_angle()",-1.57495775718038,5.63349611095634,3,26,0,100.176575477274,75.8524635098346,-26.8606465342894,"line",130.793434657666,141.464182889455,1,24.7,1,0.0143284785230577,0.0158331762854511
