"func.name","true_x","true_y","lin_extrap_x","lin_extrap_y","tpt","min_x","min_y","max_x","max_y","forced_choice_tpt"
"123",0.146484375,0.390625,NA,NA,0,0,0,1,0.75,14
"3_pts",0.402922597226616,0.375,NA,NA,0,0,0,1,0.75,12
"alternating_diff_1",0.223844468647199,0.34738444686472,NA,NA,0,0,0,1,0.75,14
"alternating_diff_2",0.210036692079559,0.38880777656764,NA,NA,0,0,0,1,0.75,11
"decreasing_y",0.0927734375,0.247395833333333,NA,NA,0,0,0,1,0.75,14
"f_curly_2",0.81172003978301,0.600687404640778,NA,NA,0,0,0,1,0.75,14
"hexagon",0.393691435217454,0.222891092427007,NA,NA,0,0,0,1,0.75,14
"hourglass_1",0.434294192639461,0.309294192639461,NA,NA,0,0,0,1,0.75,14
"increasing_lines",0.421334540130123,0.217669080260246,NA,NA,0,0,0,1,0.75,10
"plus",0.486133665463146,0.374506448960712,NA,NA,0,0,0,1,0.75,12
"radial_1",0.508042498246381,0.359030830288603,NA,NA,0,0,0,1,0.75,13
"radial_increasing",0.489719289212601,0.324920070196432,NA,NA,0,0,0,1,0.75,9
"sine",0.210036692079559,0.370865032576501,NA,NA,0,0,0,1,0.75,12
"spiral_outward",0.516573445299654,0.306565828588914,NA,NA,0,0,0,1,0.75,14
"square_2",0.201460021782479,0.149133351485399,NA,NA,0,0,0,1,0.75,13
"square_spiral",0.632408652871097,0.316897836782226,NA,NA,0,0,0,1,0.75,9
"stairs",0.781581597598124,0.102347503303507,NA,NA,0,0,0,1,0.75,14
"stairs_2",0.210036692079559,0.155902450011089,NA,NA,0,0,0,1,0.75,12
"triangle_1",0.402922597226617,0.318952335376557,NA,NA,0,0,0,1,0.75,14
"zigzag_1",0.795594864790748,0.417176836965584,NA,NA,0,0,0,1,0.75,13
"zigzag_2",0.782880592412545,0.200841180511337,NA,NA,0,0,0,1,0.75,13
"zigzag_3",0.789963307920441,0.226832010841877,NA,NA,0,0,0,1,0.75,13
"zigzag_widening",0.628199033455741,0.47480782784582,NA,NA,0,0,0,1,0.75,14
"123",0.244140625,0.390625,NA,NA,1,0,0,1,0.75,14
"3_pts",0.5,0.375,NA,NA,1,0,0,1,0.75,12
"alternating_diff_1",0.223844468647199,0.405377108448808,NA,NA,1,0,0,1,0.75,14
"alternating_diff_2",0.239033022871603,0.38880777656764,NA,NA,1,0,0,1,0.75,11
"decreasing_y",0.154622395833333,0.247395833333333,NA,NA,1,0,0,1,0.75,14
"f_curly_2",0.727438500742146,0.663716086525317,NA,NA,1,0,0,1,0.75,14
"hexagon",0.587820118733407,0.222891092427007,NA,NA,1,0,0,1,0.75,14
"hourglass_1",0.572276388096593,0.309294192639461,NA,NA,1,0,0,1,0.75,14
"increasing_lines",0.421334540130123,0.264868356182172,NA,NA,1,0,0,1,0.75,10
"plus",0.489588522738159,0.277442107202738,NA,NA,1,0,0,1,0.75,12
"radial_1",0.692608987901833,0.29810220469197,NA,NA,1,0,0,1,0.75,13
"radial_increasing",0.522403834385325,0.303951813524045,NA,NA,1,0,0,1,0.75,9
"sine",0.239033022871603,0.444063745658692,NA,NA,1,0,0,1,0.75,12
"spiral_outward",0.56326822669202,0.306565828588914,NA,NA,1,0,0,1,0.75,14
"square_2",0.3464416757427,0.149133351485399,NA,NA,1,0,0,1,0.75,13
"square_spiral",0.632408652871097,0.454630408044435,NA,NA,1,0,0,1,0.75,9
"stairs",0.770186858482946,0.148064875652476,NA,NA,1,0,0,1,0.75,14
"stairs_2",0.249381732731048,0.153477779451086,NA,NA,1,0,0,1,0.75,12
"triangle_1",0.597077402773384,0.318952335376557,NA,NA,1,0,0,1,0.75,14
"zigzag_1",0.760685399284882,0.34962280250298,NA,NA,1,0,0,1,0.75,13
"zigzag_2",0.768757964187083,0.281679758648187,NA,NA,1,0,0,1,0.75,13
"zigzag_3",0.745108465532842,0.221623447443165,NA,NA,1,0,0,1,0.75,13
"zigzag_widening",0.588683780939488,0.493113446042673,NA,NA,1,0,0,1,0.75,14
"123",0.244140625,0.29296875,0.341796875,0.390625,2,0,0,1,0.75,14
"3_pts",0.597077402773384,0.375,0.597077402773384,0.375,2,0,0,1,0.75,12
"alternating_diff_1",0.281837130231287,0.405377108448808,0.223844468647199,0.463369770032897,2,0,0,1,0.75,14
"alternating_diff_2",0.268029353663647,0.38880777656764,0.268029353663647,0.38880777656764,2,0,0,1,0.75,11
"decreasing_y",0.185546875,0.309244791666667,0.216471354166667,0.247395833333333,2,0,0,1,0.75,14
"f_curly_2",0.604221841827438,0.609566812389319,0.643156961701283,0.726744768409856,2,0,0,1,0.75,14
"hexagon",0.684884460491384,0.391011463955052,0.781948802249361,0.222891092427007,2,0,0,1,0.75,14
"hourglass_1",0.434294192639461,0.447276388096593,0.710258583553725,0.309294192639461,2,0,0,1,0.75,14
"increasing_lines",0.468533816052049,0.264868356182172,0.421334540130123,0.312067632104099,2,0,0,1,0.75,10
"plus",0.493043380013172,0.180377765444764,0.493043380013172,0.180377765444764,2,0,0,1,0.75,12
"radial_1",0.508042498246381,0.359030830288603,0.877175477557286,0.237173579095338,2,0,0,1,0.75,13
"radial_increasing",0.489719289212601,0.324920070196432,0.555088379558049,0.282983556851658,2,0,0,1,0.75,9
"sine",0.268029353663647,0.449963899506277,0.268029353663647,0.517262458740883,2,0,0,1,0.75,12
"spiral_outward",0.607341243669574,0.33858674976061,0.609963008084385,0.306565828588914,2,0,0,1,0.75,14
"square_2",0.49142332970292,0.149133351485399,0.49142332970292,0.149133351485399,2,0,0,1,0.75,13
"square_spiral",0.494676081608887,0.454630408044435,0.632408652871097,0.592362979306645,2,0,0,1,0.75,9
"stairs",0.723588936014035,0.155032790374874,0.758792119367768,0.193782248001446,2,0,0,1,0.75,14
"stairs_2",0.288726773382537,0.151053108891083,0.288726773382537,0.151053108891083,2,0,0,1,0.75,12
"triangle_1",0.5,0.487095329246885,0.791232208320151,0.318952335376557,2,0,0,1,0.75,14
"zigzag_1",0.725775933779016,0.282068768040376,0.725775933779016,0.282068768040376,2,0,0,1,0.75,13
"zigzag_2",0.754635335961622,0.362518336785037,0.754635335961622,0.362518336785037,2,0,0,1,0.75,13
"zigzag_3",0.700253623145243,0.216414884044453,0.700253623145243,0.216414884044453,2,0,0,1,0.75,13
"zigzag_widening",0.61022422801162,0.446724424371095,0.549168528423235,0.511419064239526,2,0,0,1,0.75,14
"123",0.341796875,0.390625,0.244140625,0.1953125,3,0,0,1,0.75,14
"3_pts",0.402922597226616,0.375,0.694154805546768,0.375,3,0,0,1,0.75,12
"alternating_diff_1",0.281837130231287,0.34738444686472,0.339829791815376,0.405377108448808,3,0,0,1,0.75,14
"alternating_diff_2",0.297025684455691,0.330815114983552,0.297025684455691,0.38880777656764,3,0,0,1,0.75,11
"decreasing_y",0.216471354166667,0.247395833333333,0.216471354166667,0.37109375,3,0,0,1,0.75,14
"f_curly_2",0.579928146924981,0.481519878427231,0.48100518291273,0.555417538253321,3,0,0,1,0.75,14
"hexagon",0.587820118733407,0.559131835483097,0.781948802249361,0.559131835483097,3,0,0,1,0.75,14
"hourglass_1",0.572276388096593,0.447276388096593,0.296311997182329,0.585258583553725,3,0,0,1,0.75,14
"increasing_lines",0.421334540130123,0.312067632104098,0.515733091973975,0.264868356182172,3,0,0,1,0.75,10
"plus",0.486133665463146,0.374506448960712,0.496498237288185,0.0833134236867893,3,0,0,1,0.75,12
"radial_1",0.698346079773637,0.398548337531974,0.323476008590928,0.419959455885235,3,0,0,1,0.75,13
"radial_increasing",0.528486473749063,0.32716788783647,0.457034744039877,0.345888326868819,3,0,0,1,0.75,9
"sine",0.297025684455691,0.383140919881741,0.297025684455691,0.455864053353863,3,0,0,1,0.75,12
"spiral_outward",0.626580551668059,0.397799251254192,0.651414260647128,0.370607670932305,3,0,0,1,0.75,14
"square_2",0.636404983663141,0.149133351485399,0.636404983663141,0.149133351485399,3,0,0,1,0.75,13
"square_spiral",0.356943510346677,0.454630408044435,0.356943510346677,0.454630408044435,3,0,0,1,0.75,9
"stairs",0.712194196898857,0.200750162723844,0.676991013545123,0.162000705097272,3,0,0,1,0.75,14
"stairs_2",0.293576114502543,0.229743190194061,0.328071814034025,0.14862843833108,3,0,0,1,0.75,12
"triangle_1",0.402922597226616,0.318952335376557,0.402922597226617,0.655238323117214,3,0,0,1,0.75,14
"zigzag_1",0.702692737700794,0.354521403692189,0.69086646827315,0.214514733577772,3,0,0,1,0.75,13
"zigzag_2",0.74051270773616,0.443356914921887,0.74051270773616,0.443356914921887,3,0,0,1,0.75,13
"zigzag_3",0.655398780757643,0.211206320645741,0.655398780757643,0.211206320645741,3,0,0,1,0.75,13
"zigzag_widening",0.559607939206569,0.476792704362208,0.631764675083751,0.400335402699518,3,0,0,1,0.75,14
"123",0.341796875,0.29296875,0.439453125,0.48828125,4,0,0,1,0.75,14
"3_pts",0.5,0.375,0.208767791679848,0.375,4,0,0,1,0.75,12
"alternating_diff_1",0.339829791815376,0.34738444686472,0.281837130231287,0.289391785280631,4,0,0,1,0.75,14
"alternating_diff_2",0.326022015247735,0.38880777656764,0.326022015247735,0.272822453399463,4,0,0,1,0.75,11
"decreasing_y",0.2783203125,0.247395833333333,0.247395833333333,0.185546875,4,0,0,1,0.75,14
"f_curly_2",0.656954817311339,0.424047731141992,0.555634452022524,0.353472944465144,4,0,0,1,0.75,14
"hexagon",0.393691435217454,0.559131835483097,0.490755776975431,0.727252207011142,4,0,0,1,0.75,14
"hourglass_1",0.434294192639461,0.309294192639461,0.710258583553725,0.447276388096593,4,0,0,1,0.75,14
"increasing_lines",0.468533816052049,0.312067632104098,0.374135264208197,0.359266908026025,4,0,0,1,0.75,10
"plus",0.58319800722112,0.377961306235725,0.47922395091312,0.568635132476661,4,0,0,1,0.75,12
