Unnamed: 0,X.1,X,r_id,subj_id,func.name,game_n,min_distance,max_distance,correct_distance,Current_time,screen_w,screen_h,width,height,level,tpt,prev_x,prev_y,true_x,true_y,pred_x,pred_y,correct,attempt_number,dist_from_prev,dist_from_true,RT,total_correct,guess_number,func.type,mode,min_x,min_y,max_x,max_y,scale_by
3,3,2,26432127,BP24,line,7,0.6,2000,1.60105230412542,Wed May  8 13:08:40 2024,1536,864,1536,864,,3,0.7791133049485902,0.09393236224231397,22.1,3.0,0.7096354166666673,0.10290573784379344,1.0,1.0,108.0,60.0,1.44909811019897,1.0,1.0,line,test,0,0,1,0.618343321732261,37.26085362328241
4,4,3,26432127,BP24,line,7,0.6,2000,1.60105230412542,Wed May  8 13:08:42 2024,1536,864,1536,864,,4,0.7442241418300165,0.12077018002583224,20.8,4.0,0.7278645833333344,0.2116296961771268,0.0,1.0,142.0,102.0,0.0435009002685546,1.0,2.0,line,test,0,0,1,0.618343321732261,37.26085362328241
5,5,4,26432127,BP24,line,7,0.6,2000,1.60105230412542,Wed May  8 13:08:43 2024,1536,864,1536,864,,5,0.7093349787114428,0.14760799780935052,19.5,5.0,0.6419270833333325,0.16800990451046013,1.0,1.0,108.0,51.0,0.169030427932739,2.0,3.0,line,test,0,0,1,0.618343321732261,37.26085362328241
6,6,5,26432127,BP24,line,7,0.6,2000,1.60105230412542,Wed May  8 13:08:45 2024,1536,864,1536,864,,6,0.674445815592869,0.17444581559286879,18.2,6.0,0.6419270833333325,0.19535365451046016,1.0,1.0,59.0,10.0,0.825140476226807,3.0,4.0,line,test,0,0,1,0.618343321732261,37.26085362328241
7,7,6,26432127,BP24,line,7,0.6,2000,1.60105230412542,Wed May  8 13:08:48 2024,1536,864,1536,864,,7,0.6395566524742952,0.20128363337638708,16.9,7.0,0.6321614583333344,0.21814011284379337,1.0,1.0,28.0,45.0,1.73108839988708,4.0,5.0,line,test,0,0,1,0.618343321732261,37.26085362328241
8,8,7,26432127,BP24,line,7,0.6,2000,1.60105230412542,Wed May  8 13:09:01 2024,1536,864,1536,864,,8,0.6046674893557215,0.22812145115990534,15.6,8.0,0.07291666666666662,0.05082240451046001,0.0,1.0,861.0,825.0,10.7217814922333,4.0,6.0,line,test,0,0,1,0.618343321732261,37.26085362328241
9,9,8,26432127,BP24,line,7,0.6,2000,1.60105230412542,Wed May  8 13:09:03 2024,1536,864,1536,864,,9,0.5697783262371476,0.25495926894342363,14.3,9.0,0.5358072916666656,0.28910365451046005,1.0,1.0,74.0,11.0,0.167440891265869,5.0,7.0,line,test,0,0,1,0.618343321732261,37.26085362328241
10,10,9,26432127,BP24,line,7,0.6,2000,1.60105230412542,Wed May  8 13:09:05 2024,1536,864,1536,864,,10,0.5348891631185739,0.2817970867269419,13.0,10.0,0.5384114583333324,0.3210046961771278,1.0,1.0,60.0,62.0,1.32747936248779,6.0,8.0,line,test,0,0,1,0.618343321732261,37.26085362328241
11,11,10,26432127,BP24,line,7,0.6,2000,1.60105230412542,Wed May  8 13:09:07 2024,1536,864,1536,864,,11,0.5000000000000002,0.30863490451046016,11.7,11.0,0.47005208333333426,0.3431401128437936,1.0,1.0,70.0,14.0,0.789733409881592,7.0,9.0,line,test,0,0,1,0.618343321732261,37.26085362328241
12,12,11,26432127,BP24,line,7,0.6,2000,1.60105230412542,Wed May  8 13:09:10 2024,1536,864,1536,864,,12,0.4651108368814264,0.33547272229397845,10.4,12.0,0.474609374999999,0.3711349045104615,0.0,1.0,57.0,70.0,0.292154312133789,7.0,10.0,line,test,0,0,1,0.618343321732261,37.26085362328241
