fn_x,fn_y,noise_x,noise_y,particle,pred_x,pred_y,prev_x,prev_y,score,sd_x,sd_y,seq_id,tpt,true_x,true_y,var_x,var_y,weight
,,,,1,,,,,,,,triangle_1,0,0.0,0.0,,,
,,,,1,,,7.771561172376075e-16,1.9229626863835546e-15,,,,triangle_1,1,1.0,6.533188080748106e-17,,,
"Linear(0.9145595801511429, 3, 1)","Constant(0.18799583821653126, 1)",0.0070557880141088,0.074808100571872,1,0.9958168413210206,0.12325982500212636,0.9999999999999964,-0.999999999999996,-5.251926086533981,0.05927591564068001,0.1551148650631067,triangle_1,2,0.5000000000000002,0.8660254037844387,0.0140545367001639,0.1283233139389097,-2.837891308214485
"Linear(0.9768580596876335, 2, 1)","SquaredExponential(0.27899155769411765, 2, 1)",0.0026224073744587,0.0037938707756379,1,0.7432721271836856,0.4330127018922196,-6.661338147750939e-16,0.9999999999999944,-1.3146948330231094,0.028488989764185128,0.2396528226564256,triangle_1,3,-1.665334536937719e-16,4.0185035092460646e-16,0.0032464901511353,0.3063118688383554,-47.96448429562491
"Periodic(0.9913652293459975, 0.38761829719905583, 2, 1)","Periodic(0.9760518295833591, 0.7407060645427659, 2, 1)",0.0035991551253507,3.4700263564680096e-19,1,0.9946815539189643,7.15025984622824e-07,-0.9999999999999988,-0.9999999999999952,24.58136599937656,0.04232424678579466,0.0006123722105146022,triangle_1,4,0.9999999999999997,6.533188080748106e-17,0.0071653674639393,1.999998529123026e-06,-388.3169256374879
"Periodic(0.9944256141851695, 0.049039509578273785, 2, 1)","Periodic(0.20009247607153866, 0.5692773110926453, 2, 1)",8.107137885414346e-12,4.029125298548737e-07,1,0.500000421500084,0.8660247362081351,0.9999999999999956,-0.999999999999996,29.70982066738089,0.0007071093121419519,0.0007253218779290762,triangle_1,5,0.5000000000000006,0.8660254037844393,2.0000143172715923e-06,2.805823075213709e-06,-381.1322685247051
"Periodic(0.9049586794784192, 0.07273164314240993, 2, 1)","SquaredExponential(0.18182796442852114, 2, 1)",8.244840153546883e-09,2.661330632976812e-13,1,1.427878623228022e-06,8.252961726429042e-07,0.0,0.9999999999999956,46.81979916108526,0.0007100154343900019,0.0006123722254037439,triangle_1,6,-7.771561172376096e-16,1.4594798284355715e-15,2.016487668288214e-06,1.999998626378563e-06,-370.0170612676106
"Periodic(0.9483407645448315, 0.07337316969191211, 2, 1)","SquaredExponential(0.0072937660983722445, 2, 1)",6.721146145293223e-08,1.9333216435753653e-14,1,0.9999994899690906,2.1650623902912892e-07,-1.0,-0.9999999999999928,59.43544666987114,0.0006326169342825517,0.0005303300467923783,triangle_1,7,0.9999999999999992,-8.000013280651269e-16,1.6008167421643904e-06,1.4999997788311958e-06,-358.73668256320383
"SquaredExponential(0.13628277003360462, 2, 1)","Periodic(0.11242950616899676, 0.2416225652461017, 2, 1)",8.233436258105015e-17,1.5941299014323858e-10,1,0.49999980974780706,0.8660251378490258,0.9999999999999948,-0.999999999999998,81.17077492254198,0.0006123723734171516,0.0005303723087622814,triangle_1,8,0.5000000000000018,0.8660254037844394,1.4999996948983352e-06,1.5002388581430992e-06,-347.1970389417399
"Periodic(0.7855527229217042, 0.43937807785260014, 2, 1)","SquaredExponential(0.013745918422296829, 2, 1)",2.317560572626109e-09,1.324871515906311e-07,1,5.30781061214293e-07,2.4519052903117616e-07,2.4424906541753444e-15,0.999999999999996,70.92640132396068,0.0006130815509380016,0.0005643686306961047,triangle_1,9,2.2204460492503407e-16,1.6037020299143396e-15,1.503475952402411e-06,1.6987304070070763e-06,-335.62495024356656
"Periodic(0.8702072401098856, 0.21887277982771602, 2, 1)","SquaredExponential(0.2892558878592792, 2, 1)",3.943187846321028e-08,1.6946500286831422e-07,1,0.9999994358533902,-1.2200008934223123e-07,-0.999999999999998,-0.9999999999999925,78.67636142780052,0.0005886231403892015,0.000540708970556692,triangle_1,10,1.0,9.306650896800892e-16,1.3859088056067392e-06,1.559286351149325e-06,-324.1161476618336
"Periodic(0.9336470769476628, 0.38696829571671143, 2, 1)","Periodic(0.024071401243533536, 0.10294225725486535, 2, 1)",6.00215344919751e-17,6.3268326590062774e-12,1,0.5000002518503206,0.8660252594460067,0.9999999999999964,-0.999999999999994,119.38036649745275,0.0005773502107238015,0.0005000015608672701,triangle_1,11,0.4999999999999999,0.8660254037844394,1.3333330632914198e-06,1.3333416579719426e-06,-312.5238068305959
"Periodic(0.20210902075852788, 0.8077722091945463, 2, 1)","SquaredExponential(0.20913994087484775, 2, 1)",1.3352346800090453e-07,8.069546011257723e-09,1,2.1231534702570498e-07,3.2654502819967636e-07,-1.3322676295501878e-15,0.999999999999996,104.8444058328068,0.0006146878228037516,0.0005020132856782419,triangle_1,12,1.2212453270876777e-15,6.533188080748106e-17,1.511364478012922e-06,1.34409247465328e-06,-300.83385856889146
"Periodic(0.12625827987578583, 0.5931853520945616, 2, 1)","SquaredExponential(0.10814432000851011, 2, 1)",7.465342346128173e-19,4.7904152377901185e-16,1,0.9999998744948244,6.734173865558129e-08,-0.999999999999996,-0.999999999999996,155.75831590178572,0.0005590169803876516,0.0004841229048726297,triangle_1,13,1.0000000000000009,2.565183373106126e-15,1.2499999374471216e-06,1.2499999307857834e-06,-289.2105913065331
"Periodic(0.4285092822242061, 0.7053961727506941, 2, 1)","Periodic(0.330260615228831, 0.8122910769554202, 2, 1)",1.6853672478758293e-08,3.12840078360107e-10,1,0.5000000954649211,0.8660252584677034,0.9999999999999982,-0.9999999999999902,133.77238711073807,0.0005637080351197015,0.0004841986258626127,triangle_1,14,0.4999999999999979,0.8660254037844394,1.2710669954341114e-06,1.2503909828653903e-06,-277.4561013483293
"Periodic(0.4266642079281865, 0.7231551230021581, 2, 1)","Periodic(0.5904038919095801, 0.4625947958502139, 2, 1)",1.9153448274253435e-11,5.437906538247552e-14,1,1.4058652164639122e-07,3.5292076250865167e-07,-5.3290705182007506e-15,0.999999999999996,158.662165617808,0.0005590223335995015,0.0004841228919730081,triangle_1,15,1.9984014443252893e-15,-1.6653345369377348e-15,1.2500238778523354e-06,1.249999864172402e-06,-265.7101244112676
"Periodic(0.07704420625338437, 0.5545690339737379, 2, 1)","Periodic(0.03212825032720008, 0.48027957227493256, 2, 1)",3.5597204776367215e-08,3.84625463504277e-16,1,0.9999998951004102,7.482338919608939e-08,-0.9999999999999944,-1.0,168.89348478883386,0.0005573859980002515,0.00047434164106686146,triangle_1,16,1.0000000000000018,4.199701656532163e-15,1.2427166030670731e-06,1.199999959733411e-06,-253.95564426503705
"Periodic(0.04761575533085554, 0.9230081907719612, 2, 1)","SquaredExponential(0.21939124601607987, 2, 1)",4.782119753064437e-15,4.252418440499442e-12,1,0.4999999662453726,0.8660252013689854,1.0,-0.9999999999999865,186.0935040850967,0.0005477225490757014,0.0004743426446375376,triangle_1,17,0.499999999999999,0.8660254037844412,1.19999996306408e-06,1.2000050374494364e-06,-242.17782146131708
"Periodic(0.42955249454173683, 0.7040825361495504, 2, 1)","SquaredExponential(0.183356707278341, 2, 1)",3.7106481430594165e-10,1.9731658072756948e-08,1,1.0887572721163281e-07,1.698740646250413e-07,-3.1086244689504387e-15,1.0,180.3698392399399,0.0005478241590585514,0.0004789985469925725,triangle_1,18,-1.665334536937719e-16,1.9882945671910546e-15,1.2004452369929195e-06,1.223677909445442e-06,-230.38251170300023
"Periodic(0.04546440131846111, 0.16158823118010882, 2, 1)","SquaredExponential(0.43961623407642003, 2, 1)",1.5175393720190197e-12,9.641778872109858e-23,1,0.9999999165788235,-1.8245433267214493e-07,-0.9999999999999988,-0.9999999999999916,224.78417519848028,0.0005400621282398014,0.00046770715439679124,triangle_1,19,0.9999999999999997,5.941466195629638e-16,1.1666684094358004e-06,1.166666572127717e-06,-218.59715505532105
"SquaredExponential(0.054038566129623614, 2, 1)","SquaredExponential(0.04716584771628924, 2, 1)",6.644797279676013e-08,5.927629850175832e-11,1,0.49999999015290364,0.8660253264603613,0.9999999999999956,-0.9999999999999948,204.3926196827805,0.0005577161620917015,0.00046772102954109704,triangle_1,20,0.5000000000000031,0.8660254037844412,1.2441892698333843e-06,1.1667357945333023e-06,-206.77367303799755
