func,init_angle,init_speed,particle,pred_x,pred_y,scale_x,scale_y,score,seq_id,shape_x,shape_y,tpt,true_x,true_y,sampled_sd_x,sampled_sd_y,sd_x,sd_y
,,,1,,,,,,triangle_1,,,0,0.0,0.0,,,,
move_x(real(1.0225771484675814)),-0.5442741962947979,2.707686082474132,1,1.0225771484675814,-2.0430414990351724,47.81734418333821,65.3749004203622,-31.926028779755114,triangle_1,98.86696385148603,148.06691090305904,1,1.0,0.0,0.0132568812935982,0.0103863252754718,0.0145439266507217,0.0101640190858626
move_t(round(real(0.2160127376149485))),0.3333271925806256,1.0410006429314298,1,2.04100064293143,0.0,103.34162972247972,91.7091936997224,-28.906790499793644,triangle_1,120.41600300573874,151.9783687634889,2,0.5000000000000002,0.8660254037844387,0.0094873695205068,0.0079989761515044,0.0093262602613707,0.0084564764512267
"move_t(plus(round(var_c()), real(3.1453944920226173)))",-2.402395115612099,0.9191804884563404,1,-0.3953123846456599,0.6579184498906823,82.6350693973917,110.17136150654233,-47.56993355708306,triangle_1,172.16558024945107,132.2835222316719,3,-2.220446049250313e-16,3.3306690738754696e-16,0.0188909193220734,0.0172788350979802,0.0186424181490871,0.0152900776468177
"move_t(plus(round(round(mod(round(minus(var_c(), mod(round(real(-3.9429240243076644)), int(2)))), round(int(13))))), real(3.430525146758623)))",0.0744929848308515,1.0030168784164082,1,0.6277744421138136,-0.7822672869402663,40.02555036106561,27.52621488909364,-91.9946753194454,triangle_1,162.1399176476002,117.88955225974604,4,0.9999999999999998,8.813754755807632e-17,0.025210760929899,0.0483980009346768,0.0243076234545133,0.0471367859822489
"move_t(plus(var_c(), real(3.5355113758521735)))",2.336287784239929,0.9419354535531124,1,1.6278792932806252,0.7021467024274414,23.337930269257782,27.52621488909364,-93.35710793819432,triangle_1,85.89660722340003,31.937458640297507,5,0.5000000000000006,0.8660254037844393,0.0445104321349847,0.1254690232662769,0.0458839671758791,0.1239896317870862
"move_t(plus(var_c(), real(3.5813127680136567)))",-2.305721477309856,0.897123496989983,1,-0.2099989676117963,1.4144158074584263,23.337930269257782,27.52621488909364,-140.9444945610773,triangle_1,30.084342590570863,30.15294579252745,6,-7.771561172376097e-16,1.4432899320127037e-15,0.1566473031764295,0.1265661957788529,0.1526877263557814,0.1254075385638227
change_y(int(12)),3.4099064131283887,1.3555370084078648,1,0.0,0.0,23.337930269257782,27.52621488909364,-194.14094987502344,triangle_1,30.084342590570863,28.13096320332381,7,0.9999999999999992,-8.229256270464883e-16,0.2072849815269473,0.1633248724822049,0.1976799384035158,0.15892999464557
flip_angle(),3.271575389317502,0.0737369009822528,1,0.0,0.0,23.337930269257782,27.52621488909364,-241.62298323601647,triangle_1,30.084342590570863,27.939945313262243,8,0.5000000000000018,0.8660254037844394,0.2360364504227715,0.1680555534744577,0.2310486284103739,0.1581471088601501
flip_angle(),-0.5916583891863461,0.5384514700977002,1,0.0,0.0,23.337930269257782,27.52621488909364,-312.24960956237004,triangle_1,30.084342590570863,27.939945313262243,9,2.220446049250313e-16,1.6653345369377348e-15,0.2185290229618895,0.1757258775731042,0.2372082068048898,0.1906823749347464
