"fn_x","fn_y","particle","pred_x","pred_y","score","sd_x","sd_y","seq_id","tpt","true_x","true_y"
"","",1,NA,NA,NA,NA,NA,"line",0,26,0
"","",2,NA,NA,NA,NA,NA,"line",0,26,0
"","",3,NA,NA,NA,NA,NA,"line",0,26,0
"","",4,NA,NA,NA,NA,NA,"line",0,26,0
"","",5,NA,NA,NA,NA,NA,"line",0,26,0
"","",6,NA,NA,NA,NA,NA,"line",0,26,0
"","",7,NA,NA,NA,NA,NA,"line",0,26,0
"","",8,NA,NA,NA,NA,NA,"line",0,26,0
"","",9,NA,NA,NA,NA,NA,"line",0,26,0
"","",10,NA,NA,NA,NA,NA,"line",0,26,0
"","",11,NA,NA,NA,NA,NA,"line",0,26,0
"","",12,NA,NA,NA,NA,NA,"line",0,26,0
"","",13,NA,NA,NA,NA,NA,"line",0,26,0
"","",14,NA,NA,NA,NA,NA,"line",0,26,0
"","",15,NA,NA,NA,NA,NA,"line",0,26,0
"","",16,NA,NA,NA,NA,NA,"line",0,26,0
"","",17,NA,NA,NA,NA,NA,"line",0,26,0
"","",18,NA,NA,NA,NA,NA,"line",0,26,0
"","",19,NA,NA,NA,NA,NA,"line",0,26,0
"","",20,NA,NA,NA,NA,NA,"line",0,26,0
"","",1,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",2,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",3,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",4,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",5,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",6,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",7,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",8,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",9,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",10,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",11,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",12,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",13,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",14,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",15,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",16,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",17,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",18,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",19,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",20,NA,NA,NA,NA,NA,"line",1,24.7,1
"Plus(SquaredExponential(0.07204833428613344, 2, 1), Periodic(0.6402304726651596, 0.8837184642514955, 2, 1), 3)","Periodic(0.5301580123165353, 0.18842291290395888, 1, 1)",1,23.4192929818858,8.96522451685715,14.9441871431149,7.745097558991,9.37520951030812,"line",2,23.4,2
"Plus(SquaredExponential(0.09137522792022285, 1, 1), Linear(0.3014398092898072, 1, 1), 3)","Plus(SquaredExponential(0.49793559400950627, 3, 1), Linear(0.8471667587725182, 3, 1), 3)",2,24.2505793940477,1.26201733304908,-7.89503736409505,2.75160204303002,0.797041194921758,"line",2,23.4,2
"Plus(Linear(0.2769679218982411, 3, 1), Times(Constant(0.12911238552516635, 1), Periodic(0.22998087053507357, 0.7816144924405657, 3, 1), 3), 5)","Plus(Linear(0.9292128544389384, 1, 1), Times(Constant(0.5127102259989248, 1), Times(Constant(0.4580965386588933, 1), Linear(0.7095651212332447, 1, 1), 3), 5), 7)",3,19.7945975211416,1.55883884226053,-18.9090916238906,3.99712249210875,0.125207228649573,"line",2,23.4,2
"Plus(Periodic(0.30630516919083944, 0.9120595669830078, 1, 1), Periodic(0.1568971776572786, 0.9143475671011698, 2, 1), 3)","Plus(Linear(0.6310067038261582, 3, 1), Constant(0.982316862232892, 1), 3)",4,19.1570412691733,1.22906305918946,-9.53058512608092,14.6459496113765,0.43758882214167,"line",2,23.4,2
"SquaredExponential(0.395316805353768, 3, 1)","Periodic(0.7027204050403872, 0.1568655051307527, 1, 1)",5,24.6567936455866,7.18655357289288,29.3364695508697,1.03214884114652,8.91719517746687,"line",2,23.4,2
"Times(Periodic(0.6192604548853163, 0.6316567306039724, 3, 1), Periodic(0.46235625550243287, 0.6832214745794605, 1, 1), 3)","Times(Times(Linear(0.04343537240901761, 2, 1), Constant(0.5837477483995742, 1), 3), Constant(0.3680569286161679, 1), 5)",6,17.3855441517331,5.85090551980427,-21.8167858726672,11.4195910277274,4.91494212258952,"line",2,23.4,2
"Periodic(0.5450683958697594, 0.9249642818226326, 1, 1)","SquaredExponential(0.33438730519747206, 3, 1)",7,22.192780854306,1.08472072668065,-2.1803740253337,7.46771134777869,1.26895722990414,"line",2,23.4,2
"Periodic(0.4452652010870212, 0.5676535859038, 2, 1)","Periodic(0.2787607781302205, 0.7830770038857485, 2, 1)",8,17.9769192884873,5.30203438110014,-4.01249112491683,11.5938446252536,7.95343174457277,"line",2,23.4,2
"SquaredExponential(0.504885092118151, 1, 1)","SquaredExponential(0.3039848319262173, 1, 1)",9,24.6661545413629,1.0432116965715,16.8554208079432,0.913694780394207,0.905073029332937,"line",2,23.4,2
"Periodic(0.31253486840378636, 0.3872098170352164, 2, 1)","Linear(0.8205033894275771, 1, 1)",10,14.3509881791971,1.6693797940892,-1.63943742056737,12.1943932708123,0.878590973227082,"line",2,23.4,2
"Constant(0.7082639607044023, 1)","Constant(0.8217434415101843, 1)",11,24.699982561377,1.03058998422642,15.8169473218629,0.0174663555549766,0.691647805919636,"line",2,23.4,2
"SquaredExponential(0.938120874329586, 2, 1)","Constant(0.7738310434884674, 1)",12,24.635448032414,1.00001227659116,17.861778778433,1.26343341176332,0.0134350383792002,"line",2,23.4,2
"Plus(Constant(0.5649825083974749, 1), Plus(Plus(Times(Periodic(0.6478973697485668, 0.35811821247935643, 2, 1), Periodic(0.7579059846282236, 0.5170150786266761, 1, 1), 3), Linear(0.16091727356215857, 1, 1), 5), Plus(SquaredExponential(0.3123468615110361, 3, 1), Constant(0.7689669542987588, 1), 3), 9), 11)","Constant(0.5558370966007082, 1)",13,21.8370842974796,1.00219103266301,-17.475188246564,14.4184486660467,0.152124805425987,"line",2,23.4,2
"Linear(0.20453365005975607, 2, 1)","Constant(0.8350003856083048, 1)",14,23.8828461630887,1.00014733541559,12.4122501339329,0.0190256984128378,0.0483476532415143,"line",2,23.4,2
"Constant(0.45467968387487767, 1)","Plus(Times(Periodic(0.9458404042342664, 0.41706669618668263, 3, 1), Linear(0.28746595964029087, 3, 1), 3), Linear(0.25016015130418523, 2, 1), 5)",15,24.6868753191231,2.30916967314702,-10.3490918660075,0.384026420016216,2.39777538178649,"line",2,23.4,2
"Periodic(0.520690974332521, 0.7841044805362842, 3, 1)","Constant(0.5424799850616088, 1)",16,21.3015735651259,1.0000176227128,49.5880139820538,8.50834314658089,0.0134773728541611,"line",2,23.4,2
