"func","init_angle","init_speed","particle","pred_x","pred_y","scale_x","scale_y","score","seq_id","shape_x","shape_y","tpt","true_x","true_y","sd_x","sd_y"
"",NA,NA,1,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,2,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,3,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,4,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,5,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,6,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,7,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,8,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,9,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,10,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,11,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,12,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,13,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,14,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,15,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,16,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,17,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,18,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,19,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,20,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,1,NA,NA,NA,NA,NA,"line",NA,NA,1,24.7,1,NA,NA
"",NA,NA,2,NA,NA,NA,NA,NA,"line",NA,NA,1,24.7,1,NA,NA
"",NA,NA,3,NA,NA,NA,NA,NA,"line",NA,NA,1,24.7,1,NA,NA
"",NA,NA,4,NA,NA,NA,NA,NA,"line",NA,NA,1,24.7,1,NA,NA
"",NA,NA,5,NA,NA,NA,NA,NA,"line",NA,NA,1,24.7,1,NA,NA
"",NA,NA,6,NA,NA,NA,NA,NA,"line",NA,NA,1,24.7,1,NA,NA
"",NA,NA,7,NA,NA,NA,NA,NA,"line",NA,NA,1,24.7,1,NA,NA
