"func","init_angle","init_speed","particle","pred_x","pred_y","scale_x","scale_y","score","seq_id","shape_x","shape_y","tpt","true_x","true_y","sd_x","sd_y"
"",NA,NA,1,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,2,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,3,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,4,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,5,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,6,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,7,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,8,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,9,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,10,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,11,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,12,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,13,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,14,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,15,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,16,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,17,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,18,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,19,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"",NA,NA,20,NA,NA,NA,NA,NA,"line",NA,NA,0,26,0,NA,NA
"change_x(plus(minus(round(int(17)), int(2)), int(1)))",-2.37974766569262,1.79428260381218,1,26,0,116.336279718899,180.313624699607,-49.1852270092031,"line",55.3550850444788,105.341784320382,1,24.7,1,0.020438065802605,0.0119003992788763
"repeat(change_y(round(round(mod(int(10), int(11))))), int(10))",-3.59936916977583,0.191720323043883,2,26,0,149.035422787554,109.411930141215,-43.6390403752717,"line",124.796756464896,74.444163412543,1,24.7,1,0.0120262364701072,0.018173077278123
"dot()",-3.12620966269276,3.31577195528753,3,26,0,109.662883172455,49.357599940059,-29.5504298053057,"line",117.788281540893,160.752244872538,1,24.7,1,0.0144309614723662,0.0184128323960698
